Total Sutradara: 1385
Total Film: 3333
Rata-rata film per sutradara: 2.41

Daftar Lengkap Sutradara:
--------------------------------------------------
                            Sutradara  Jumlah Film
                Mohammad Haluk Yuwono            1
                 Shalfia Fala Pratika            1
                         Leo Plunkett            1
                      Ãnar Ãnarsson            1
                   Percolate Galactic            1
                       Bobby Fernando            1
                       Magung Budiman            1
            Romadhona Wahyu Nurochman            1
                         Andi Rusmana            1
                    Frank Rorimpandey            1
                 Zhaddam Aldhy Nurdin            1
          Ovriawan Aldo Pribadi Putra            1
                  Daniel Indra Kusuma            1
                              Angelia            1
                     Brilian Nanda T.            1
                          Nas Affandi            1
               Pieter Andas Parinatha            1
                         Nasri Cheppy            1
                      Chonie Prysilia            1
                Rafa Putera Pamungkas            1
                           Upie Guava            1
                        Ndik Pradhono            1
              Annajam Islamay Wisyesa            1
                    Adilista Athaya M            1
                  Whira Purnama Rizki            1
                         Juan Aldisya            1
                        Kafka Keandre            1
                       Excel Dermawan            1
                   Alan Dharmasaputra            1
                       Wimar Herdanto            1
       Gerry Nioisa Anugrah Sembiring            1
                      Lerryant Krisdy            1
                 Muhammad Didit Delon            1
                        Nurul M Berry            1
                     Richard Buntario            1
                Ace Raden Desenasuria            1
               Gitamustika Ayuwardani            1
                   Bernhard Cannysius            1
                        Putra Arradin            1
                        Daniel Calvin            1
